ID,Tên sách,Tác giả,Nhà xuất bản,Giá,Giá gốc,Giảm giá,Phần trăm giảm,Đánh giá,Số lượt đánh giá
76,Sherlock Holmes,Nguyễn Nhật Ánh,NXB Kim Đồng,31699.0,60959,29260.0,48,4.8,14015
77,The Psychology of Money,James Clear,NXB Lao Động,91372.0,95179,3807.0,4,4.9,6432
78,Những Người Khốn Khổ,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,292895.0,366119,73224.0,20,3.9,19882
79,The Psychology of Money,J.K. Rowling,NXB Tổng Hợp TP.HCM,375681.0,375681,0.0,0,3.2,19863
80,Dế Mèn Phiêu Lưu Ký,Paulo Coelho,NXB Trẻ,207754.0,384730,176976.0,46,4.3,15424
81,Sherlock Holmes,Antoine de Saint-Exupéry,NXB Trẻ,32307.0,64615,32308.0,50,4.2,1343
82,Think and Grow Rich,J.K. Rowling,NXB Trẻ,283743.0,465153,181410.0,39,4.2,11946
83,Harry Potter,Paulo Coelho,NXB Phụ Nữ Việt Nam,92420.0,184840,92420.0,50,4.0,4154
84,Không Gia Đình,Tony Buổi Sáng,NXB Lao Động,52114.0,72381,20267.0,28,4.6,11534
85,Muôn Kiếp Nhân Sinh,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,192064.0,243119,51055.0,21,4.6,12386
86,Think and Grow Rich,J.K. Rowling,NXB Phụ Nữ Việt Nam,51176.0,98416,47240.0,48,4.2,13075
87,Nhà Giả Kim,Paulo Coelho,NXB Lao Động,26824.0,43974,17150.0,39,4.7,6724
88,Dế Mèn Phiêu Lưu Ký,Antoine de Saint-Exupéry,NXB Thế Giới,400657.0,421744,21087.0,5,3.9,16364
89,Dế Mèn Phiêu Lưu Ký,Paulo Coelho,NXB Kim Đồng,196549.0,327581,131032.0,40,3.4,7651
90,Cây Cam Ngọt Của Tôi,Robin Sharma,NXB Kim Đồng,138452.0,242898,104446.0,43,3.3,4143
91,Tuổi Trẻ Đáng Giá Bao Nhiêu,Tony Buổi Sáng,NXB Trẻ,164451.0,269592,105141.0,39,3.2,16906
92,Think and Grow Rich,Nguyễn Nhật Ánh,NXB Thế Giới,229435.0,297968,68533.0,23,4.6,8290
93,Cây Cam Ngọt Của Tôi,Dale Carnegie,NXB Trẻ,59227.0,81133,21906.0,27,4.9,7165
94,Think and Grow Rich,Antoine de Saint-Exupéry,NXB Lao Động,86385.0,172771,86386.0,50,3.7,15055
95,Tuổi Trẻ Đáng Giá Bao Nhiêu,Robin Sharma,NXB Trẻ,310345.0,470220,159875.0,34,4.3,3307
96,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,171089.0,335468,164379.0,49,4.8,8498
97,Tuổi Trẻ Đáng Giá Bao Nhiêu,Dale Carnegie,NXB Văn Học,406989.0,490348,83359.0,17,3.0,10741
98,Muôn Kiếp Nhân Sinh,J.K. Rowling,NXB Tổng Hợp TP.HCM,177681.0,265196,87515.0,33,4.8,4069
99,Những Người Khốn Khổ,Nguyễn Nhật Ánh,NXB Thế Giới,40130.0,51449,11319.0,22,4.1,19004
100,Không Gia Đình,Dale Carnegie,NXB Phụ Nữ Việt Nam,228363.0,356817,128454.0,36,3.1,10179
101,Nhà Giả Kim,Nguyễn Nhật Ánh,NXB Phụ Nữ Việt Nam,83621.0,154853,71232.0,46,4.9,15749
102,Deep Work,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,279028.0,410336,131308.0,32,3.3,4163
103,Dế Mèn Phiêu Lưu Ký,Victor Hugo,NXB Thế Giới,193617.0,233273,39656.0,17,3.7,2821
104,Tuổi Trẻ Đáng Giá Bao Nhiêu,Dale Carnegie,NXB Trẻ,297111.0,450168,153057.0,34,4.6,18068
105,Tuổi Trẻ Đáng Giá Bao Nhiêu,Dale Carnegie,NXB Tổng Hợp TP.HCM,104215.0,208429,104214.0,50,4.9,11909
106,Harry Potter,Robin Sharma,NXB Phụ Nữ Việt Nam,312488.0,372010,59522.0,16,4.9,11377
107,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,180012.0,187513,7501.0,4,4.7,13647
108,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Thế Giới,251972.0,296438,44466.0,15,3.7,4691
109,Những Người Khốn Khổ,Dale Carnegie,NXB Phụ Nữ Việt Nam,39359.0,62475,23116.0,37,4.7,15592
110,Cây Cam Ngọt Của Tôi,Nguyễn Ngọc Tư,NXB Kim Đồng,36355.0,43280,6925.0,16,4.1,19255
111,The Psychology of Money,Dale Carnegie,NXB Thế Giới,349973.0,460491,110518.0,24,3.4,19137
112,Cây Cam Ngọt Của Tôi,Paulo Coelho,NXB Văn Học,173401.0,309644,136243.0,44,4.1,12977
113,Sherlock Holmes,J.K. Rowling,NXB Lao Động,265529.0,384825,119296.0,31,4.3,7042
114,Dế Mèn Phiêu Lưu Ký,Nguyễn Nhật Ánh,NXB Văn Học,112985.0,213180,100195.0,47,4.6,15532
115,Harry Potter,Antoine de Saint-Exupéry,NXB Trẻ,150213.0,200284,50071.0,25,3.8,7684
116,Không Gia Đình,Nguyễn Nhật Ánh,NXB Văn Học,177154.0,224245,47091.0,21,4.8,11334
117,Atomic Habits,Paulo Coelho,NXB Phụ Nữ Việt Nam,392203.0,396165,3962.0,1,4.1,9009
118,Không Gia Đình,Robin Sharma,NXB Lao Động,341223.0,411112,69889.0,17,4.3,11947
119,Cây Cam Ngọt Của Tôi,Tony Buổi Sáng,NXB Kim Đồng,225819.0,285847,60028.0,21,4.3,3665
120,Sherlock Holmes,Paulo Coelho,NXB Tổng Hợp TP.HCM,87020.0,140355,53335.0,38,4.8,737
121,Dế Mèn Phiêu Lưu Ký,Dale Carnegie,NXB Phụ Nữ Việt Nam,202755.0,259942,57187.0,22,4.1,19613
122,Sherlock Holmes,James Clear,NXB Kim Đồng,290142.0,392084,101942.0,26,4.8,17814
123,Muôn Kiếp Nhân Sinh,J.K. Rowling,NXB Lao Động,94676.0,175326,80650.0,46,3.6,3756
124,Nhà Giả Kim,James Clear,NXB Kim Đồng,301426.0,313985,12559.0,4,3.1,10671
125,Không Gia Đình,James Clear,NXB Trẻ,333633.0,340442,6809.0,2,3.6,14201
126,Nhà Giả Kim,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,134605.0,210321,75716.0,36,4.8,3
127,Cây Cam Ngọt Của Tôi,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,295751.0,369689,73938.0,20,4.2,217
128,Đắc Nhân Tâm,Dale Carnegie,NXB Văn Học,233547.0,333638,100091.0,30,3.4,15124
129,Cây Cam Ngọt Của Tôi,Dale Carnegie,NXB Tổng Hợp TP.HCM,97213.0,136920,39707.0,29,4.8,10529
130,Dế Mèn Phiêu Lưu Ký,Nguyễn Nhật Ánh,NXB Thế Giới,78487.0,115422,36935.0,32,3.3,6828
131,Những Người Khốn Khổ,James Clear,NXB Trẻ,192209.0,263300,71091.0,27,4.0,3844
132,Deep Work,Tony Buổi Sáng,NXB Văn Học,178195.0,356390,178195.0,50,3.7,19740
133,Think and Grow Rich,Nguyễn Nhật Ánh,NXB Trẻ,201024.0,209400,8376.0,4,4.8,14407
134,Atomic Habits,Dale Carnegie,NXB Thế Giới,309926.0,309926,0.0,0,3.3,9454
135,Atomic Habits,Tony Buổi Sáng,NXB Kim Đồng,169326.0,297063,127737.0,43,4.6,15056
136,The Psychology of Money,James Clear,NXB Trẻ,348414.0,348414,0.0,0,3.1,6793
137,Những Người Khốn Khổ,Antoine de Saint-Exupéry,NXB Văn Học,42472.0,57394,14922.0,26,3.6,6997
138,Nhà Giả Kim,Dale Carnegie,NXB Lao Động,82438.0,132964,50526.0,38,3.9,1575
139,Không Gia Đình,J.K. Rowling,NXB Văn Học,36488.0,37233,745.0,2,4.7,15688
140,Tuổi Trẻ Đáng Giá Bao Nhiêu,Tony Buổi Sáng,NXB Lao Động,158106.0,259190,101084.0,39,4.9,15177
141,Đắc Nhân Tâm,Robin Sharma,NXB Thế Giới,145952.0,205566,59614.0,29,3.0,10884
142,Dế Mèn Phiêu Lưu Ký,Robin Sharma,NXB Thế Giới,330405.0,429097,98692.0,23,4.4,19907
143,Deep Work,Antoine de Saint-Exupéry,NXB Lao Động,285357.0,331810,46453.0,14,4.8,18754
144,Harry Potter,Victor Hugo,NXB Văn Học,35408.0,41657,6249.0,15,3.1,7334
145,Tuổi Trẻ Đáng Giá Bao Nhiêu,J.K. Rowling,NXB Kim Đồng,151659.0,204944,53285.0,26,3.6,10814
146,Những Người Khốn Khổ,Paulo Coelho,NXB Tổng Hợp TP.HCM,63507.0,72997,9490.0,13,3.9,5931
147,Deep Work,Nguyễn Ngọc Tư,NXB Thế Giới,231116.0,312319,81203.0,26,3.6,5286
148,Hoàng Tử Bé,Nguyễn Ngọc Tư,NXB Thế Giới,85600.0,138064,52464.0,38,3.4,3503
149,Đắc Nhân Tâm,Paulo Coelho,NXB Thế Giới,160625.0,272245,111620.0,41,3.0,4864
150,Tuổi Trẻ Đáng Giá Bao Nhiêu,Dale Carnegie,NXB Tổng Hợp TP.HCM,198827.0,261615,62788.0,24,3.8,1428
151,Không Gia Đình,Dale Carnegie,NXB Thế Giới,142165.0,218715,76550.0,35,3.6,16212
152,Harry Potter,Robin Sharma,NXB Tổng Hợp TP.HCM,68775.0,110928,42153.0,38,3.9,13333
153,Tuổi Trẻ Đáng Giá Bao Nhiêu,J.K. Rowling,NXB Phụ Nữ Việt Nam,255010.0,432220,177210.0,41,3.1,6017
154,Những Người Khốn Khổ,Dale Carnegie,NXB Thế Giới,283588.0,399420,115832.0,29,4.0,19624
155,Dế Mèn Phiêu Lưu Ký,Robin Sharma,NXB Kim Đồng,157921.0,162805,4884.0,3,3.6,10108
156,Không Gia Đình,J.K. Rowling,NXB Tổng Hợp TP.HCM,228854.0,440103,211249.0,48,3.2,1430
157,Hoàng Tử Bé,J.K. Rowling,NXB Phụ Nữ Việt Nam,294786.0,316974,22188.0,7,3.8,4817
158,Atomic Habits,James Clear,NXB Phụ Nữ Việt Nam,25215.0,43475,18260.0,42,3.7,14607
159,Dế Mèn Phiêu Lưu Ký,J.K. Rowling,NXB Trẻ,255066.0,262955,7889.0,3,3.7,12660
160,Atomic Habits,James Clear,NXB Lao Động,90404.0,161435,71031.0,44,4.8,5877
161,Sherlock Holmes,Victor Hugo,NXB Tổng Hợp TP.HCM,259606.0,499242,239636.0,48,4.1,12151
162,Sherlock Holmes,Paulo Coelho,NXB Phụ Nữ Việt Nam,73157.0,81285,8128.0,10,4.1,2520
163,Hoàng Tử Bé,James Clear,NXB Tổng Hợp TP.HCM,398757.0,469126,70369.0,15,4.5,15818
164,Sherlock Holmes,Antoine de Saint-Exupéry,NXB Thế Giới,266168.0,391424,125256.0,32,3.5,702
165,Những Người Khốn Khổ,James Clear,NXB Lao Động,381420.0,448729,67309.0,15,4.8,18428
166,Cây Cam Ngọt Của Tôi,J.K. Rowling,NXB Văn Học,170152.0,333632,163480.0,49,3.2,11966
167,Deep Work,Paulo Coelho,NXB Trẻ,367976.0,379357,11381.0,3,3.5,9166
168,Đắc Nhân Tâm,Antoine de Saint-Exupéry,NXB Lao Động,224134.0,243624,19490.0,8,4.7,11383
169,Đắc Nhân Tâm,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,384945.0,423017,38072.0,9,4.8,12414
170,Atomic Habits,Tony Buổi Sáng,NXB Trẻ,32729.0,43064,10335.0,24,4.4,19355
171,Dế Mèn Phiêu Lưu Ký,Robin Sharma,NXB Lao Động,171377.0,231590,60213.0,26,3.1,11822
172,Những Người Khốn Khổ,Dale Carnegie,NXB Kim Đồng,203028.0,278120,75092.0,27,4.4,19811
173,Muôn Kiếp Nhân Sinh,Robin Sharma,NXB Lao Động,122210.0,188015,65805.0,35,3.8,10473
174,The Psychology of Money,Victor Hugo,NXB Thế Giới,351193.0,433572,82379.0,19,4.4,4731
175,Sherlock Holmes,Paulo Coelho,NXB Văn Học,284979.0,313164,28185.0,9,3.1,5663
176,Không Gia Đình,Robin Sharma,NXB Tổng Hợp TP.HCM,443756.0,493062,49306.0,10,3.3,18917
177,Tuổi Trẻ Đáng Giá Bao Nhiêu,Dale Carnegie,NXB Lao Động,54720.0,72960,18240.0,25,3.2,18763
178,Hoàng Tử Bé,Dale Carnegie,NXB Thế Giới,100561.0,141635,41074.0,29,3.5,14915
179,Sherlock Holmes,Robin Sharma,NXB Thế Giới,133249.0,143278,10029.0,7,3.9,5939
180,The Psychology of Money,Dale Carnegie,NXB Văn Học,207109.0,300158,93049.0,31,3.9,1767
181,Đắc Nhân Tâm,J.K. Rowling,NXB Văn Học,39236.0,53748,14512.0,27,4.7,1674
182,Nhà Giả Kim,Antoine de Saint-Exupéry,NXB Văn Học,239758.0,292388,52630.0,18,3.5,13160
183,Atomic Habits,Antoine de Saint-Exupéry,NXB Thế Giới,91071.0,178570,87499.0,49,3.5,6476
184,Không Gia Đình,Dale Carnegie,NXB Trẻ,285295.0,413471,128176.0,31,4.2,13986
185,Atomic Habits,Nguyễn Ngọc Tư,NXB Trẻ,294685.0,446493,151808.0,34,4.1,3021
186,Deep Work,Tony Buổi Sáng,NXB Văn Học,151240.0,240063,88823.0,37,3.5,4183
187,Không Gia Đình,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,166290.0,230959,64669.0,28,4.7,15566
188,Đắc Nhân Tâm,Victor Hugo,NXB Trẻ,55013.0,55569,556.0,1,3.6,447
189,Đắc Nhân Tâm,Nguyễn Ngọc Tư,NXB Phụ Nữ Việt Nam,324840.0,444986,120146.0,27,4.5,2616
190,Dế Mèn Phiêu Lưu Ký,James Clear,NXB Lao Động,350113.0,460675,110562.0,24,4.2,7330
191,Deep Work,Antoine de Saint-Exupéry,NXB Thế Giới,256706.0,342274,85568.0,25,4.4,9475
192,Sherlock Holmes,Nguyễn Nhật Ánh,NXB Thế Giới,37389.0,70546,33157.0,47,4.0,15781
193,Deep Work,Tony Buổi Sáng,NXB Kim Đồng,152833.0,235128,82295.0,35,4.1,16005
194,Think and Grow Rich,Victor Hugo,NXB Tổng Hợp TP.HCM,51347.0,64184,12837.0,20,3.2,8511
195,Không Gia Đình,Dale Carnegie,NXB Tổng Hợp TP.HCM,310102.0,319693,9591.0,3,3.9,3604
196,Tuổi Trẻ Đáng Giá Bao Nhiêu,Robin Sharma,NXB Thế Giới,201187.0,346874,145687.0,42,3.5,13653
197,Không Gia Đình,Robin Sharma,NXB Văn Học,110576.0,115183,4607.0,4,3.8,4429
198,Tuổi Trẻ Đáng Giá Bao Nhiêu,Tony Buổi Sáng,NXB Văn Học,311550.0,389437,77887.0,20,4.1,19568
199,Atomic Habits,Tony Buổi Sáng,NXB Thế Giới,132826.0,181954,49128.0,27,4.2,3771
200,Tuổi Trẻ Đáng Giá Bao Nhiêu,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,253283.0,255841,2558.0,1,3.9,18886
201,Tuổi Trẻ Đáng Giá Bao Nhiêu,J.K. Rowling,NXB Lao Động,58316.0,104136,45820.0,44,4.6,15286
202,Muôn Kiếp Nhân Sinh,J.K. Rowling,NXB Tổng Hợp TP.HCM,255344.0,398975,143631.0,36,3.2,15945
203,Think and Grow Rich,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,285551.0,426196,140645.0,33,4.4,19424
204,Đắc Nhân Tâm,Nguyễn Ngọc Tư,NXB Phụ Nữ Việt Nam,96187.0,143563,47376.0,33,3.8,15851
205,Atomic Habits,Nguyễn Ngọc Tư,NXB Thế Giới,90510.0,156051,65541.0,42,4.6,5574
206,Deep Work,Dale Carnegie,NXB Thế Giới,55106.0,91844,36738.0,40,4.5,9403
207,Atomic Habits,James Clear,NXB Phụ Nữ Việt Nam,471845.0,481474,9629.0,2,3.0,6112
208,Think and Grow Rich,Robin Sharma,NXB Thế Giới,320800.0,360449,39649.0,11,4.9,16376
209,Dế Mèn Phiêu Lưu Ký,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,202345.0,208603,6258.0,3,3.7,4793
210,Đắc Nhân Tâm,Paulo Coelho,NXB Văn Học,233441.0,259379,25938.0,10,4.7,10254
211,Cây Cam Ngọt Của Tôi,Victor Hugo,NXB Kim Đồng,118089.0,178922,60833.0,34,4.3,8984
212,Dế Mèn Phiêu Lưu Ký,James Clear,NXB Lao Động,454774.0,464055,9281.0,2,4.2,17913
213,Muôn Kiếp Nhân Sinh,Antoine de Saint-Exupéry,NXB Kim Đồng,71361.0,139923,68562.0,49,3.9,13057
214,Sherlock Holmes,Dale Carnegie,NXB Lao Động,50505.0,95293,44788.0,47,3.2,5807
215,The Psychology of Money,Tony Buổi Sáng,NXB Tổng Hợp TP.HCM,197054.0,294110,97056.0,33,3.6,15
216,The Psychology of Money,Nguyễn Ngọc Tư,NXB Tổng Hợp TP.HCM,124882.0,132853,7971.0,6,3.1,9819
217,Think and Grow Rich,J.K. Rowling,NXB Thế Giới,110872.0,158389,47517.0,30,4.6,13012
218,Deep Work,Paulo Coelho,NXB Phụ Nữ Việt Nam,184309.0,279256,94947.0,34,4.5,16582
219,Nhà Giả Kim,Nguyễn Nhật Ánh,NXB Lao Động,118072.0,196786,78714.0,40,4.6,3316
220,Tuổi Trẻ Đáng Giá Bao Nhiêu,Paulo Coelho,NXB Kim Đồng,129295.0,243953,114658.0,47,3.1,13782
221,Harry Potter,Tony Buổi Sáng,NXB Thế Giới,199155.0,245870,46715.0,19,3.7,11581
222,Tuổi Trẻ Đáng Giá Bao Nhiêu,Antoine de Saint-Exupéry,NXB Lao Động,45551.0,49512,3961.0,8,4.5,14913
223,Nhà Giả Kim,Nguyễn Nhật Ánh,NXB Thế Giới,69280.0,101882,32602.0,32,3.3,13681
224,Think and Grow Rich,Dale Carnegie,NXB Phụ Nữ Việt Nam,206451.0,245775,39324.0,16,4.5,8343
225,Atomic Habits,Dale Carnegie,NXB Tổng Hợp TP.HCM,169379.0,225839,56460.0,25,3.1,4857
226,Đắc Nhân Tâm,Tony Buổi Sáng,NXB Thế Giới,81312.0,116160,34848.0,30,4.0,17434
227,Cây Cam Ngọt Của Tôi,Dale Carnegie,NXB Văn Học,35516.0,40823,5307.0,13,3.7,9146
228,Cây Cam Ngọt Của Tôi,Tony Buổi Sáng,NXB Trẻ,386219.0,386219,0.0,0,3.9,11767
229,Deep Work,J.K. Rowling,NXB Thế Giới,177222.0,276910,99688.0,36,4.6,7721
230,Hoàng Tử Bé,Nguyễn Ngọc Tư,NXB Lao Động,47488.0,76593,29105.0,38,3.1,19178
231,Tuổi Trẻ Đáng Giá Bao Nhiêu,Nguyễn Ngọc Tư,NXB Thế Giới,417303.0,417303,0.0,0,3.3,8321
232,The Psychology of Money,Dale Carnegie,NXB Văn Học,63518.0,87011,23493.0,27,4.0,9722
